City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
173,sayyan,YE,2021-12-12 12:17:46,15.1718,44.3244,64.71,16,0,8.21,clear sky,0.0,0
174,tianpeng,CN,2021-12-12 12:17:46,30.9866,103.9393,50.47,69,100,3.85,overcast clouds,0.0,0
175,airai,TL,2021-12-12 12:17:46,-8.9266,125.4092,63.12,94,99,0.54,moderate rain,0.0,0
176,okha,RU,2021-12-12 12:17:47,53.5739,142.9478,26.94,97,100,6.02,light snow,0.0,0
177,imeni poliny osipenko,RU,2021-12-12 12:17:47,52.4201,136.4853,16.32,93,100,17.05,light snow,0.0,0
178,stephenville,US,2021-12-12 12:15:22,32.2207,-98.2023,34.16,71,1,3.44,clear sky,0.0,0
179,launceston,AU,2021-12-12 12:17:48,-41.45,147.1667,56.8,76,90,5.75,overcast clouds,0.0,0
180,chiplun,IN,2021-12-12 12:17:48,17.5333,73.5167,83.16,54,50,1.95,scattered clouds,0.0,0
181,dattapur,IN,2021-12-12 12:17:48,20.7667,78.1667,75.24,40,66,3.96,broken clouds,0.0,0
182,kidal,ML,2021-12-12 12:17:49,18.4411,1.4078,85.57,7,20,9.66,few clouds,0.0,0
183,port macquarie,AU,2021-12-12 12:17:49,-31.4333,152.9167,66.88,75,72,7.76,broken clouds,0.0,0
184,husavik,IS,2021-12-12 12:17:49,66.0449,-17.3389,39.11,83,99,12.88,overcast clouds,0.0,0
185,bahia blanca,AR,2021-12-12 12:13:50,-38.7196,-62.2724,71.47,27,100,10.63,overcast clouds,0.0,0
186,naze,JP,2021-12-12 12:17:50,28.3667,129.4833,63.9,60,51,14.25,broken clouds,0.0,0
187,juegang,CN,2021-12-12 12:17:50,32.3174,121.1855,47.91,61,96,14.27,overcast clouds,0.0,0
188,khani,GE,2021-12-12 12:17:50,41.9563,42.9566,53.17,39,92,5.82,overcast clouds,0.0,0
189,plettenberg bay,ZA,2021-12-12 12:17:51,-34.0527,23.3716,71.55,65,21,9.01,few clouds,0.0,0
190,el rosario,MX,2021-12-12 12:17:51,24.2556,-107.1828,57.15,79,0,3.49,clear sky,0.0,0
191,bambous virieux,MU,2021-12-12 12:17:52,-20.3428,57.7575,82.65,69,75,13.8,light rain,0.0,0
192,pinawa,CA,2021-12-12 12:17:52,50.1489,-95.8811,28.71,82,48,10.11,scattered clouds,0.0,0
193,atambua,ID,2021-12-12 12:17:52,-9.1061,124.8925,76.14,89,98,2.24,light rain,0.0,0
194,southbury,US,2021-12-12 12:17:52,41.4815,-73.2132,43.59,53,1,9.22,clear sky,0.0,0
195,vaitape,PF,2021-12-12 12:17:53,-16.5167,-151.75,80.06,72,98,5.88,overcast clouds,0.0,0
196,chokurdakh,RU,2021-12-12 12:17:53,70.6333,147.9167,-29.54,93,100,2.82,overcast clouds,0.0,0
197,saint-denis,FR,2021-12-12 12:17:54,48.9167,2.3333,52.75,95,90,1.01,overcast clouds,0.0,0
198,moron,AR,2021-12-12 12:13:55,-34.6534,-58.6198,84.02,53,32,7.38,scattered clouds,0.0,0
199,victoria,HK,2021-12-12 12:17:54,22.2855,114.1577,73.45,76,0,8.99,clear sky,0.0,0
200,bend,US,2021-12-12 12:17:54,44.0582,-121.3153,36.82,92,1,1.01,light snow,0.0,0
201,sidney,AU,2021-12-12 12:17:17,-33.8679,151.2073,64.71,74,75,1.01,broken clouds,0.0,0
202,kalevala,RU,2021-12-12 12:17:54,65.2,31.1667,26.65,96,100,5.26,snow,0.0,0
203,formosa,AR,2021-12-12 12:17:55,-26.1775,-58.1781,75.07,74,59,4.56,light rain,0.0,0
204,sigli,ID,2021-12-12 12:17:55,5.3848,95.9609,80.24,78,40,8.97,scattered clouds,0.0,0
205,srivardhan,IN,2021-12-12 12:17:55,18.0333,73.0167,80.64,64,57,6.87,broken clouds,0.0,0
206,mingoyo,TZ,2021-12-12 12:17:56,-10.1,39.6333,83.34,70,100,6.15,light rain,0.0,0
207,tuatapere,NZ,2021-12-12 12:17:56,-46.1333,167.6833,46.81,90,60,3.47,broken clouds,0.0,0
208,roma,US,2021-12-12 12:14:03,43.2128,-75.4557,35.83,92,90,9.22,light snow,0.0,0
209,salta,AR,2021-12-12 12:13:32,-24.7859,-65.4117,74.57,64,0,1.99,clear sky,0.0,0
210,yulara,AU,2021-12-12 12:17:56,-25.2406,130.9889,78.64,50,94,11.5,overcast clouds,0.0,0
211,okhotsk,RU,2021-12-12 12:17:57,59.3833,143.3,-2.83,77,92,18.19,overcast clouds,0.0,0
212,ossora,RU,2021-12-12 12:17:57,59.2353,163.0719,18.64,88,100,14.03,light snow,0.0,0
213,fairbanks,US,2021-12-12 12:17:57,64.8378,-147.7164,-4.77,73,75,0.0,light snow,0.0,0
214,yei,SS,2021-12-12 12:17:57,4.095,30.6779,93.4,17,100,7.31,overcast clouds,0.0,0
215,tarumovka,RU,2021-12-12 12:17:58,44.0761,46.5361,43.18,65,84,11.52,broken clouds,0.0,0
216,rorvik,NO,2021-12-12 12:17:58,64.8621,11.2373,37.51,70,75,9.22,light rain,0.0,0
217,belmonte,BR,2021-12-12 12:17:58,-15.8631,-38.8828,82.9,68,14,9.37,few clouds,0.0,0
218,orange cove,US,2021-12-12 12:17:59,36.6244,-119.3137,40.5,53,10,3.62,clear sky,0.0,0
219,mareeba,AU,2021-12-12 12:17:59,-17.0,145.4333,77.72,95,55,3.44,broken clouds,0.0,0
220,naryan-mar,RU,2021-12-12 12:18:00,67.6713,53.087,18.54,95,99,10.74,overcast clouds,0.0,0
221,linjiang,CN,2021-12-12 12:18:00,41.8069,126.9078,3.13,86,66,4.05,broken clouds,0.0,0
222,muisne,EC,2021-12-12 12:18:00,0.6,-80.0333,73.72,93,100,11.32,light rain,0.0,0
223,cidreira,BR,2021-12-12 12:18:01,-30.1811,-50.2056,72.57,73,94,7.63,overcast clouds,0.0,0
224,baruun-urt,MN,2021-12-12 12:18:01,46.6806,113.2792,11.61,64,5,18.84,clear sky,0.0,0
225,narsaq,GL,2021-12-12 12:18:02,60.9167,-46.05,21.42,82,67,4.23,broken clouds,0.0,0
226,sibut,CF,2021-12-12 12:18:04,5.718,19.0739,99.95,18,79,7.02,broken clouds,0.0,0
227,vila do maio,CV,2021-12-12 12:18:05,15.1333,-23.2167,79.59,71,85,11.61,overcast clouds,0.0,0
228,mocuba,MZ,2021-12-12 12:18:05,-16.8392,36.9856,106.99,16,2,7.27,clear sky,0.0,0
229,leningradskiy,RU,2021-12-12 12:18:05,69.3833,178.4167,-32.48,94,22,4.21,few clouds,0.0,0
